"cod_pais","cod_atleta","cod_desporto","evento","tipo_medalha"
"GBR","540","ATH","Men's High Jump - T64","Gold Medal"
"GBR","3086","ATH","Men's Javelin Throw - F13","Gold Medal"
"IRI","58","ATH","Men's Javelin Throw - F34","Gold Medal"
"COL","2260","ATH","Men's Javelin Throw - F38","Gold Medal"
"CHN","3827","ATH","Men's Javelin Throw - F41","Gold Medal"
"SRI","1603","ATH","Men's Javelin Throw - F46","Gold Medal"
"IRI","173","ATH","Men's Javelin Throw - F54","Gold Medal"
"AZE","1591","ATH","Men's Javelin Throw - F57","Gold Medal"
"IND","3823","ATH","Men's Javelin Throw - F64","Gold Medal"
"CHN","984","ATH","Men's Long Jump - T11","Gold Medal"
"IRI","1976","ATH","Men's Long Jump - T12","Gold Medal"
"AZE","236","ATH","Men's Long Jump - T13","Gold Medal"
"MAS","3374","ATH","Men's Long Jump - T20","Gold Medal"
"RPC","4013","ATH","Men's Long Jump - T36","Gold Medal"
"UKR","4422","ATH","Men's Long Jump - T37","Gold Medal"
"CHN","4492","ATH","Men's Long Jump - T38","Gold Medal"
"CUB","3730","ATH","Men's Long Jump - T47","Gold Medal"
"RSA","2403","ATH","Men's Long Jump - T63","Gold Medal"
"GER","3289","ATH","Men's Long Jump - T64","Gold Medal"
"MAR","706","ATH","Men's Marathon - T12","Gold Medal"
"CHN","2284","ATH","Men's Marathon - T46","Gold Medal"
"SUI","1693","ATH","Men's Marathon - T54","Gold Medal"
"IRI","2935","ATH","Men's Shot Put - F11","Gold Medal"
"ESP","2352","ATH","Men's Shot Put - F12","Gold Medal"
"UKR","2091","ATH","Men's Shot Put - F20","Gold Medal"
"CHN","2330","ATH","Men's Shot Put - F32","Gold Medal"
"MAR","971","ATH","Men's Shot Put - F33","Gold Medal"
"JOR","1634","ATH","Men's Shot Put - F34","Gold Medal"
"UZB","2869","ATH","Men's Shot Put - F35","Gold Medal"
"RPC","3845","ATH","Men's Shot Put - F36","Gold Medal"
"RPC","1970","ATH","Men's Shot Put - F37","Gold Medal"
"RPC","1399","ATH","Men's Shot Put - F40","Gold Medal"
"UZB","2954","ATH","Men's Shot Put - F41","Gold Medal"
"CAN","3780","ATH","Men's Shot Put - F46","Gold Medal"
"AZE","242","ATH","Men's Shot Put - F53","Gold Medal"
"BRA","3492","ATH","Men's Shot Put - F55","Gold Medal"
"CHN","4327","ATH","Men's Shot Put - F57","Gold Medal"
"GBR","895","ATH","Men's Shot Put - F63","Gold Medal"
"VEN","3112","ATH","Women's 100m - T11","Gold Medal"
"CUB","1070","ATH","Women's 100m - T12","Gold Medal"
"ESP","1717","ATH","Women's 100m - T13","Gold Medal"
"GBR","765","ATH","Women's 100m - T34","Gold Medal"
"CHN","4488","ATH","Women's 100m - T35","Gold Medal"
"CHN","3635","ATH","Women's 100m - T36","Gold Medal"
"CHN","4279","ATH","Women's 100m - T37","Gold Medal"
"GBR","1532","ATH","Women's 100m - T38","Gold Medal"
"VEN","4168","ATH","Women's 100m - T47","Gold Medal"
"CHN","1321","ATH","Women's 100m - T53","Gold Medal"
"CHN","4491","ATH","Women's 100m - T54","Gold Medal"
"ITA","3424","ATH","Women's 100m - T63","Gold Medal"
"NED","4123","ATH","Women's 100m - T64","Gold Medal"
"MEX","3357","ATH","Women's 1500m - T11","Gold Medal"
"ETH","2592","ATH","Women's 1500m - T13","Gold Medal"
"POL","440","ATH","Women's 1500m - T20","Gold Medal"
"CHN","4491","ATH","Women's 1500m - T54","Gold Medal"
"CHN","2324","ATH","Women's 200m - T11","Gold Medal"
"CUB","1070","ATH","Women's 200m - T12","Gold Medal"
"CHN","4488","ATH","Women's 200m - T35","Gold Medal"
"CHN","3635","ATH","Women's 200m - T36","Gold Medal"
"CHN","4279","ATH","Women's 200m - T37","Gold Medal"
"VEN","4168","ATH","Women's 200m - T47","Gold Medal"
"NED","4123","ATH","Women's 200m - T64","Gold Medal"
"CHN","2324","ATH","Women's 400m - T11","Gold Medal"
"CUB","1070","ATH","Women's 400m - T12","Gold Medal"
"AZE","4107","ATH","Women's 400m - T13","Gold Medal"
"USA","756","ATH","Women's 400m - T20","Gold Medal"
"CHN","1824","ATH","Women's 400m - T37","Gold Medal"
"GER","259","ATH","Women's 400m - T38","Gold Medal"
"RSA","4283","ATH","Women's 400m - T47","Gold Medal"
"SUI","942","ATH","Women's 400m - T53","Gold Medal"
"SUI","3530","ATH","Women's 400m - T54","Gold Medal"
"USA","3526","ATH","Women's 5000m - T54","Gold Medal"
"GBR","765","ATH","Women's 800m - T34","Gold Medal"
"AUS","935","ATH","Women's 800m - T53","Gold Medal"
"SUI","3530","ATH","Women's 800m - T54","Gold Medal"
"POL","2094","ATH","Women's Club Throw - F32","Gold Medal"
"UKR","2990","ATH","Women's Club Throw - F51","Gold Medal"
"CHN","4453","ATH","Women's Discus Throw - F11","Gold Medal"
"CHN","2608","ATH","Women's Discus Throw - F38","Gold Medal"
"TUN","3984","ATH","Women's Discus Throw - F41","Gold Medal"
"BRA","3347","ATH","Women's Discus Throw - F53","Gold Medal"
"CHN","1024","ATH","Women's Discus Throw - F55","Gold Medal"
"UZB","1961","ATH","Women's Discus Throw - F57","Gold Medal"
"CHN","4379","ATH","Women's Discus Throw - F64","Gold Medal"
"UZB","1937","ATH","Women's Javelin Throw - F13","Gold Medal"
"CHN","4513","ATH","Women's Javelin Throw - F34","Gold Medal"
"NZL","3336","ATH","Women's Javelin Throw - F46","Gold Medal"
"NGR","4077","ATH","Women's Javelin Throw - F54","Gold Medal"
"IRI","2718","ATH","Women's Javelin Throw - F56","Gold Medal"
"BRA","802","ATH","Women's Long Jump - T11","Gold Medal"
"UKR","4514","ATH","Women's Long Jump - T12","Gold Medal"
"POL","2125","ATH","Women's Long Jump - T20","Gold Medal"
"CHN","4279","ATH","Women's Long Jump - T37","Gold Medal"
"HUN","1099","ATH","Women's Long Jump - T38","Gold Medal"
"NZL","1469","ATH","Women's Long Jump - T47","Gold Medal"
"AUS","2363","ATH","Women's Long Jump - T63","Gold Medal"
"NED","1840","ATH","Women's Long Jump - T64","Gold Medal"
"JPN","2614","ATH","Women's Marathon - T12","Gold Medal"
"AUS","935","ATH","Women's Marathon - T54","Gold Medal"
"UZB","575","ATH","Women's Shot Put - F12","Gold Medal"
"ECU","2586","ATH","Women's Shot Put - F20","Gold Medal"
"UKR","2714","ATH","Women's Shot Put - F32","Gold Medal"
"ALG","498","ATH","Women's Shot Put - F33","Gold Medal"
"CHN","4513","ATH","Women's Shot Put - F34","Gold Medal"
"UKR","3187","ATH","Women's Shot Put - F35","Gold Medal"
"RPC","2319","ATH","Women's Shot Put - F36","Gold Medal"
"NZL","47","ATH","Women's Shot Put - F37","Gold Medal"
"POL","3696","ATH","Women's Shot Put - F40","Gold Medal"
"TUN","3984","ATH","Women's Shot Put - F41","Gold Medal"
"CHI","2460","ATH","Women's Shot Put - F54","Gold Medal"
"ALG","1011","ATH","Women's Shot Put - F57","Gold Medal"
"USA","2431","ATH","4x100m Universal Relay","Gold Medal"
"USA","2501","ATH","4x100m Universal Relay","Gold Medal"
"USA","2529","ATH","4x100m Universal Relay","Gold Medal"
"USA","2546","ATH","4x100m Universal Relay","Gold Medal"
"CHN","2410","BDM","Men's Doubles WH","Gold Medal"
"CHN","3247","BDM","Men's Doubles WH","Gold Medal"
"CHN","3247","BDM","Men's Singles WH1","Gold Medal"
"JPN","1875","BDM","Men's Singles WH2","Gold Medal"
"IND","428","BDM","Men's Singles SL3","Gold Medal"
"FRA","2535","BDM","Men's Singles SL4","Gold Medal"
"MAS","686","BDM","Men's Singles SU5","Gold Medal"
"IND","2781","BDM","Men's Singles SH6","Gold Medal"
"JPN","3511","BDM","Women's Doubles WH","Gold Medal"
"JPN","4354","BDM","Women's Doubles WH","Gold Medal"
"INA","1959","BDM","Women's Doubles SL3-SU5","Gold Medal"
"INA","2213","BDM","Women's Doubles SL3-SU5","Gold Medal"
"JPN","3511","BDM","Women's Singles WH1","Gold Medal"
"CHN","2336","BDM","Women's Singles WH2","Gold Medal"
"CHN","703","BDM","Women's Singles SL4","Gold Medal"
"CHN","4372","BDM","Women's Singles SU5","Gold Medal"
"INA","1570","BDM","Mixed Doubles SL3-SU5","Gold Medal"
"INA","2213","BDM","Mixed Doubles SL3-SU5","Gold Medal"
"GBR","3708","BOC","Individual - BC1","Gold Medal"
"JPN","3814","BOC","Individual - BC2","Gold Medal"
"CZE","3124","BOC","Individual - BC3","Gold Medal"
"SVK","189","BOC","Individual - BC4","Gold Medal"
"KOR","723","BOC","Pairs - BC3","Gold Medal"
"KOR","1814","BOC","Pairs - BC3","Gold Medal"
"KOR","1990","BOC","Pairs - BC3","Gold Medal"
"SVK","189","BOC","Pairs - BC4","Gold Medal"
"SVK","301","BOC","Pairs - BC4","Gold Medal"
"SVK","3796","BOC","Pairs - BC4","Gold Medal"
"THA","1684","BOC","Team - BC1/BC2","Gold Medal"
"THA","3430","BOC","Team - BC1/BC2","Gold Medal"
"THA","3980","BOC","Team - BC1/BC2","Gold Medal"
"THA","4212","BOC","Team - BC1/BC2","Gold Medal"
"HUN","2021","CSP","Men's Kayak Single 200m - KL1","Gold Medal"
"AUS","2548","CSP","Men's Kayak Single 200m - KL2","Gold Medal"
"UKR","4388","CSP","Men's Kayak Single 200m - KL3","Gold Medal"
"BRA","3401","CSP","Men's Va'a Single 200m - VL2","Gold Medal"
"AUS","2548","CSP","Men's Va'a Single 200m - VL3","Gold Medal"
"GER","2731","CSP","Women's Kayak Single 200m - KL1","Gold Medal"
"GBR","1602","CSP","Women's Kayak Single 200m - KL2","Gold Medal"
"GBR","3811","CSP","Women's Kayak Single 200m - KL3","Gold Medal"
"GBR","4297","CSP","Women's Va'a Single 200m - VL2","Gold Medal"
"FRA","1851","CRD","Men's H1-2 Road Race","Gold Medal"
"CHN","695","CRD","Men's T1-2 Road Race","Gold Medal"
"RPC","2155","CRD","Men's H3 Road Race","Gold Medal"
"GBR","4264","CRD","Men's C1-3 Road Race","Gold Medal"
"NED","3949","CRD","Men's B Road Race","Gold Medal"
"NED","3167","CRD","Men's H4 Road Race","Gold Medal"
"NED","4109","CRD","Men's H5 Road Race","Gold Medal"
"FRA","2208","CRD","Men's C4-5 Road Race","Gold Medal"
"RPC","243","CRD","Men's C1 Time Trial","Gold Medal"
"RSA","1051","CRD","Men's H1 Time Trial","Gold Medal"
"AUS","1620","CRD","Men's C2 Time Trial","Gold Medal"
"ESP","1343","CRD","Men's H2 Time Trial","Gold Medal"
"CHN","695","CRD","Men's T1-2 Time Trial","Gold Medal"
"GBR","4264","CRD","Men's C3 Time Trial","Gold Medal"
"AUT","26","CRD","Men's H3 Time Trial","Gold Medal"
"FRA","2341","CRD","Men's B Time Trial","Gold Medal"
"SVK","2146","CRD","Men's C4 Time Trial","Gold Medal"
"NED","3167","CRD","Men's H4 Time Trial","Gold Medal"
"NED","30","CRD","Men's C5 Time Trial","Gold Medal"
"NED","4109","CRD","Men's H5 Time Trial","Gold Medal"
"ITA","651","CRD","Mixed H1-5 Team Relay","Gold Medal"
"ITA","773","CRD","Mixed H1-5 Team Relay","Gold Medal"
"ITA","2536","CRD","Mixed H1-5 Team Relay","Gold Medal"
"GER","2417","CRD","Women's T1-2 Road Race","Gold Medal"
"JPN","3816","CRD","Women's C1-3 Road Race","Gold Medal"
"IRL","1063","CRD","Women's B Road Race","Gold Medal"
"NED","1789","CRD","Women's H1-4 Road Race","Gold Medal"
"USA","2505","CRD","Women's H5 Road Race","Gold Medal"
"GBR","3790","CRD","Women's C4-5 Road Race","Gold Medal"
"GER","2417","CRD","Women's T1-2 Time Trial","Gold Medal"
"JPN","3816","CRD","Women's C1-3 Time Trial","Gold Medal"
"IRL","1063","CRD","Women's B Time Trial","Gold Medal"
"GER","4444","CRD","Women's H1-3 Time Trial","Gold Medal"
"USA","2699","CRD","Women's C4 Time Trial","Gold Medal"
"USA","2505","CRD","Women's H4-5 Time Trial","Gold Medal"
"GBR","3790","CRD","Women's C5 Time Trial","Gold Medal"
"CHN","2297","CTR","Men's C1-3 1000m Time Trial","Gold Medal"
"GBR","1165","CTR","Men's B 1000m Time Trial","Gold Medal"
"ESP","587","CTR","Men's C4-5 1000m Time Trial","Gold Medal"
"RPC","243","CTR","Men's C1 3000m Individual Pursuit","Gold Medal"
"FRA","2214","CTR","Men's C2 3000m Individual Pursuit","Gold Medal"
"GBR","4124","CTR","Men's C3 3000m Individual Pursuit","Gold Medal"
"NED","311","CTR","Men's B 4000m Individual Pursuit","Gold Medal"
"SVK","2602","CTR","Men's C4 4000m Individual Pursuit","Gold Medal"
"FRA","1249","CTR","Men's C5 4000m Individual Pursuit","Gold Medal"
"GBR","812","CTR","Mixed C1-5 750m Team Sprint","Gold Medal"
"GBR","834","CTR","Mixed C1-5 750m Team Sprint","Gold Medal"
"GBR","4124","CTR","Mixed C1-5 750m Team Sprint","Gold Medal"
"AUS","3290","CTR","Women's C1-3 500m Time Trial","Gold Medal"
"GBR","812","CTR","Women's C4-5 500m Time Trial","Gold Medal"
"NED","2028","CTR","Women's B 1000m Time Trial","Gold Medal"
"AUS","1461","CTR","Women's C1-3 3000m Individual Pursuit","Gold Medal"
"GBR","1163","CTR","Women's B 3000m Individual Pursuit","Gold Medal"
"AUS","3131","CTR","Women's C4 3000m Individual Pursuit","Gold Medal"
"GBR","3789","CTR","Women's C5 3000m Individual Pursuit","Gold Medal"
"USA","4039","EQU","Individual Test - Grade I","Gold Medal"
"GBR","3072","EQU","Individual Test - Grade II","Gold Medal"
"DEN","1849","EQU","Individual Test - Grade III","Gold Medal"
"NED","4206","EQU","Individual Test - Grade IV","Gold Medal"
"BEL","1365","EQU","Individual Test - Grade V","Gold Medal"
"USA","4039","EQU","Individual Freestyle Test - Grade I","Gold Medal"
"GBR","3072","EQU","Individual Freestyle Test - Grade II","Gold Medal"
"DEN","1849","EQU","Individual Freestyle Test - Grade III","Gold Medal"
"NED","4206","EQU","Individual Freestyle Test - Grade IV","Gold Medal"
"BEL","1365","EQU","Individual Freestyle Test - Grade V","Gold Medal"
"GBR","298","EQU","Team Test to Music","Gold Medal"
"GBR","3072","EQU","Team Test to Music","Gold Medal"
"GBR","4278","EQU","Team Test to Music","Gold Medal"
"BRA","160","FB5","Men","Gold Medal"
"BRA","844","FB5","Men","Gold Medal"
"BRA","846","FB5","Men","Gold Medal"
"BRA","865","FB5","Men","Gold Medal"
"BRA","1419","FB5","Men","Gold Medal"
"BRA","1420","FB5","Men","Gold Medal"
"BRA","2585","FB5","Men","Gold Medal"
"BRA","3272","FB5","Men","Gold Medal"
"BRA","3297","FB5","Men","Gold Medal"
"BRA","4182","FB5","Men","Gold Medal"
"BRA","852","GBL","Men","Gold Medal"
"BRA","923","GBL","Men","Gold Medal"
"BRA","1213","GBL","Men","Gold Medal"
"BRA","2473","GBL","Men","Gold Medal"
"BRA","2701","GBL","Men","Gold Medal"
"BRA","3752","GBL","Men","Gold Medal"
"TUR","158","GBL","Women","Gold Medal"
"TUR","159","GBL","Women","Gold Medal"
"TUR","654","GBL","Women","Gold Medal"
"TUR","1501","GBL","Women","Gold Medal"
"TUR","1897","GBL","Women","Gold Medal"
"TUR","4391","GBL","Women","Gold Medal"
"GBR","3689","JUD","Men -100 kg","Gold Medal"
"AZE","3647","JUD","Men -60 kg","Gold Medal"
"UZB","2143","JUD","Men -66 kg","Gold Medal"
"UZB","3525","JUD","Men -73 kg","Gold Medal"
"AZE","3258","JUD","Men -81 kg","Gold Medal"
"IRI","2881","JUD","Men -90 kg","Gold Medal"
"IRI","1966","JUD","Men +100 kg","Gold Medal"
"AZE","1534","JUD","Women -48 kg","Gold Medal"
"ALG","12","JUD","Women -52 kg","Gold Medal"
"AZE","4108","JUD","Women -57 kg","Gold Medal"
"AZE","1701","JUD","Women -63 kg","Gold Medal"
"BRA","2426","JUD","Women -70 kg","Gold Medal"
"AZE","1911","JUD","Women +70 kg","Gold Medal"
"MGL","1137","PWL","Men's -107 kg","Gold Medal"
"JOR","3240","PWL","Men's -49 kg","Gold Medal"
"KAZ","946","PWL","Men's -54 kg","Gold Medal"
"CHN","3241","PWL","Men's -59 kg","Gold Medal"
"CHN","2329","PWL","Men's -65 kg","Gold Medal"
"MAS","1515","PWL","Men's -72 kg","Gold Medal"
"IRI","3384","PWL","Men's -80 kg","Gold Medal"
"JOR","1963","PWL","Men's -88 kg","Gold Medal"
"CHN","4355","PWL","Men's -97 kg","Gold Medal"
"JOR","1123","PWL","Men's +107 kg","Gold Medal"
"CHN","1507","PWL","Women's -41 kg","Gold Medal"
"NGR","3975","PWL","Women's -45 kg","Gold Medal"
"CHN","1677","PWL","Women's -50 kg","Gold Medal"
"UKR","3634","PWL","Women's -55 kg","Gold Medal"
"MEX","3104","PWL","Women's -61 kg","Gold Medal"
"CHN","3889","PWL","Women's -67 kg","Gold Medal"
"BRA","843","PWL","Women's -73 kg","Gold Medal"
"NGR","2953","PWL","Women's -79 kg","Gold Medal"
"NGR","2950","PWL","Women's -86 kg","Gold Medal"
"CHN","964","PWL","Women's +86 kg","Gold Medal"
"UKR","3182","ROW","PR1 Men's Single Sculls - PR1M1x","Gold Medal"
"NOR","3687","ROW","PR1 Women's Single Sculls - PR1W1x","Gold Medal"
"GBR","582","ROW","PR3 Mixed Coxed Four - PR3Mix4+","Gold Medal"
"GBR","1252","ROW","PR3 Mixed Coxed Four - PR3Mix4+","Gold Medal"
"GBR","1947","ROW","PR3 Mixed Coxed Four - PR3Mix4+","Gold Medal"
"GBR","3263","ROW","PR3 Mixed Coxed Four - PR3Mix4+","Gold Medal"
"GBR","3765","ROW","PR3 Mixed Coxed Four - PR3Mix4+","Gold Medal"
"GBR","3387","ROW","PR2 Mixed Double Sculls - PR2Mix2x","Gold Medal"
"GBR","4291","ROW","PR2 Mixed Double Sculls - PR2Mix2x","Gold Medal"
"CHN","4364","SHO","P1 - Men's 10m Air Pistol SH1","Gold Medal"
"CHN","1023","SHO","R1 - Men's 10m Air Rifle Standing SH1","Gold Medal"
"UAE","102","SHO","R7 - Men's 50m Rifle 3 Positions SH1","Gold Medal"
"GER","1631","SHO","R3 - Mixed 10m Air Rifle Prone SH1","Gold Medal"
"SRB","3324","SHO","R5 - Mixed 10m Air Rifle Prone SH2","Gold Medal"
"SWE","1843","SHO","R4 - Mixed 10m Air Rifle Standing SH2","Gold Medal"
"CHN","1689","SHO","P3 - Mixed 25m Pistol SH1","Gold Medal"
"IND","2804","SHO","P4 - Mixed 50m Pistol SH1","Gold Medal"
"SVK","4097","SHO","R6 - Mixed 50m Rifle Prone SH1","Gold Medal"
"SRB","3324","SHO","R9 - Mixed 50m Rifle Prone SH2","Gold Medal"
"IRI","1799","SHO","P2 - Women's 10m Air Pistol SH1","Gold Medal"
"IND","2256","SHO","R2 - Women's 10m Air Rifle Standing SH1","Gold Medal"
"CHN","4449","SHO","R8 - Women's 50m Rifle 3 Positions SH1","Gold Medal"
"IRI","123","VBS","Men","Gold Medal"
"IRI","130","VBS","Men","Gold Medal"
"IRI","273","VBS","Men","Gold Medal"
"IRI","442","VBS","Men","Gold Medal"
"IRI","1406","VBS","Men","Gold Medal"
"IRI","1669","VBS","Men","Gold Medal"
"IRI","2195","VBS","Men","Gold Medal"
"IRI","2570","VBS","Men","Gold Medal"
"IRI","2571","VBS","Men","Gold Medal"
"IRI","2822","VBS","Men","Gold Medal"
"IRI","3268","VBS","Men","Gold Medal"
"IRI","3450","VBS","Men","Gold Medal"
"USA","1039","VBS","Women","Gold Medal"
"USA","1141","VBS","Women","Gold Medal"
"USA","1233","VBS","Women","Gold Medal"
"USA","1656","VBS","Women","Gold Medal"
"USA","2393","VBS","Women","Gold Medal"
"USA","2522","VBS","Women","Gold Medal"
"USA","2625","VBS","Women","Gold Medal"
"USA","3535","VBS","Women","Gold Medal"
"USA","3636","VBS","Women","Gold Medal"
"USA","4269","VBS","Women","Gold Medal"
"USA","4300","VBS","Women","Gold Medal"
"USA","4521","VBS","Women","Gold Medal"
"ISR","3608","SWM","Men's 100m Backstroke - S1","Gold Medal"
"CHI","2","SWM","Men's 100m Backstroke - S2","Gold Medal"
"CHN","1822","SWM","Men's 100m Backstroke - S6","Gold Medal"
"UKR","4040","SWM","Men's 100m Backstroke - S7","Gold Medal"
"USA","1474","SWM","Men's 100m Backstroke - S8","Gold Medal"
"RPC","2728","SWM","Men's 100m Backstroke - S9","Gold Medal"
"UKR","2119","SWM","Men's 100m Backstroke - S10","Gold Medal"
"UKR","3589","SWM","Men's 100m Backstroke - S11","Gold Medal"
"AZE","3453","SWM","Men's 100m Backstroke - S12","Gold Medal"
"BLR","473","SWM","Men's 100m Backstroke - S13","Gold Medal"
"AUS","1555","SWM","Men's 100m Backstroke - S14","Gold Medal"
"USA","1474","SWM","Men's 100m Butterfly - S8","Gold Medal"
"AUS","2482","SWM","Men's 100m Butterfly - S9","Gold Medal"
"UKR","2119","SWM","Men's 100m Butterfly - S10","Gold Medal"
"JPN","2011","SWM","Men's 100m Butterfly - S11","Gold Medal"
"AZE","3453","SWM","Men's 100m Butterfly - S12","Gold Medal"
"BLR","473","SWM","Men's 100m Butterfly - S13","Gold Medal"
"BRA","309","SWM","Men's 100m Butterfly - S14","Gold Medal"
"RPC","707","SWM","Men's 100m Breaststroke - SB4","Gold Medal"
"RPC","1456","SWM","Men's 100m Breaststroke - SB5","Gold Medal"
"UKR","470","SWM","Men's 100m Breaststroke - SB6","Gold Medal"
"COL","3595","SWM","Men's 100m Breaststroke - SB7","Gold Medal"
"RPC","1881","SWM","Men's 100m Breaststroke - SB8","Gold Medal"
"ITA","3260","SWM","Men's 100m Breaststroke - SB9","Gold Medal"
"NED","1033","SWM","Men's 100m Breaststroke - SB11","Gold Medal"
"AZE","1749","SWM","Men's 100m Breaststroke - SB12","Gold Medal"
"GER","1135","SWM","Men's 100m Breaststroke - SB13","Gold Medal"
"JPN","4349","SWM","Men's 100m Breaststroke - SB14","Gold Medal"
"JPN","3840","SWM","Men's 100m Freestyle - S4","Gold Medal"
"ITA","460","SWM","Men's 100m Freestyle - S5","Gold Medal"
"ITA","1174","SWM","Men's 100m Freestyle - S6","Gold Medal"
"AUS","3192","SWM","Men's 100m Freestyle - S8","Gold Medal"
"UKR","2119","SWM","Men's 100m Freestyle - S10","Gold Medal"
"AZE","3453","SWM","Men's 100m Freestyle - S12","Gold Medal"
"MEX","1609","SWM","Men's 150m Individual Medley - SM3","Gold Medal"
"RPC","4478","SWM","Men's 150m Individual Medley - SM4","Gold Medal"
"BRA","1034","SWM","Men's 200m Freestyle - S2","Gold Medal"
"UKR","2978","SWM","Men's 200m Freestyle - S3","Gold Medal"
"ISR","867","SWM","Men's 200m Freestyle - S4","Gold Medal"
"ITA","460","SWM","Men's 200m Freestyle - S5","Gold Medal"
"GBR","1066","SWM","Men's 200m Freestyle - S14","Gold Medal"
"COL","817","SWM","Men's 200m Individual Medley - SM6","Gold Medal"
"ISR","2433","SWM","Men's 200m Individual Medley - SM7","Gold Medal"
"UKR","1054","SWM","Men's 200m Individual Medley - SM8","Gold Medal"
"RPC","1881","SWM","Men's 200m Individual Medley - SM9","Gold Medal"
"UKR","2119","SWM","Men's 200m Individual Medley - SM10","Gold Medal"
"NED","1033","SWM","Men's 200m Individual Medley - SM11","Gold Medal"
"BLR","473","SWM","Men's 200m Individual Medley - SM13","Gold Medal"
"GBR","1066","SWM","Men's 200m Individual Medley - SM14","Gold Medal"
"BRA","1398","SWM","Men's 400m Freestyle - S6","Gold Medal"
"ISR","2433","SWM","Men's 400m Freestyle - S7","Gold Medal"
